time_s,event,group_id,detail
48.1,SATELLITE_PAIR,52,bacteria_10_135
48.1,SATELLITE_PAIR,53,bacteria_14_134
48.1,SATELLITE_PAIR,54,bacteria_16_170
48.1,SATELLITE_PAIR,55,bacteria_34_45
48.1,SATELLITE_PAIR,56,bacteria_68_69
48.1,SATELLITE_PAIR,57,bacteria_136_142
48.1,SATELLITE_PAIR,58,bacteria_160_161
48.1,SATELLITE_PAIR,59,bacteria_162_166
48.1,SATELLITE_PAIR,60,bacteria_163_174
48.1,SATELLITE_PAIR,61,bacteria_164_173
48.1,SATELLITE_PAIR,62,bacteria_165_169
48.1,SATELLITE_PAIR,63,bacteria_171_175
48.1716,MERGE,63,absorbed_group_62
48.1716,MERGE,63,absorbed_group_61
48.1716,MERGE,63,absorbed_group_60
48.1716,MERGE,63,absorbed_group_59
48.1716,MERGE,63,absorbed_group_58
48.1716,MERGE,63,absorbed_group_54
48.1716,MERGE,57,absorbed_group_53
48.1716,MERGE,57,absorbed_group_52
48.1716,MERGE,57,absorbed_group_51
48.1716,MERGE,4,absorbed_group_57
48.1716,MERGE,50,absorbed_group_48
48.1716,MERGE,50,absorbed_group_49
48.2442,MERGE,4,absorbed_group_50
48.3151,SATELLITE_PAIR,64,bacteria_18_72
48.3151,SATELLITE_PAIR,65,bacteria_130_132
48.3855,MERGE,65,absorbed_group_64
48.3855,MERGE,4,absorbed_group_65
48.5261,SATELLITE_PAIR,66,bacteria_33_42
48.6013,MERGE,1,absorbed_group_55
48.673,MERGE,1,absorbed_group_66
48.8175,SATELLITE_PAIR,67,bacteria_5_138
48.8175,SATELLITE_PAIR,68,bacteria_38_74
48.8175,SATELLITE_PAIR,69,bacteria_47_65
48.8175,SATELLITE_PAIR,70,bacteria_139_141
48.8891,MERGE,1,absorbed_group_69
48.8891,MERGE,67,absorbed_group_70
48.8891,MERGE,4,absorbed_group_67
48.9609,MERGE,1,absorbed_group_68
49.0335,SATELLITE_PAIR,71,bacteria_21_172
49.1053,MERGE,63,absorbed_group_71
49.1781,MERGE,4,absorbed_group_33
49.321,SATELLITE_PAIR,72,bacteria_35_46
49.3915,SATELLITE_PAIR,73,bacteria_30_111
49.4626,MERGE,4,absorbed_group_73
49.6121,MERGE,1,absorbed_group_72
50.1468,SATELLITE_PAIR,74,bacteria_51_105
50.2196,MERGE,4,absorbed_group_74
50.5108,SATELLITE_PAIR,75,bacteria_128_129
50.583,MERGE,4,absorbed_group_75
50.7966,SATELLITE_PAIR,76,bacteria_36_66
50.7966,SATELLITE_PAIR,77,bacteria_70_73
50.7966,SATELLITE_PAIR,78,bacteria_102_167
50.7966,PREDATOR_HIT,1,survived
50.8682,MERGE,77,absorbed_group_56
50.8682,MERGE,1,absorbed_group_76
50.939,SATELLITE_PAIR,79,bacteria_37_40
51.0097,MERGE,1,absorbed_group_79
51.3028,SATELLITE_PAIR,80,bacteria_9_137
51.3758,MERGE,4,absorbed_group_80
51.5196,SATELLITE_PAIR,81,bacteria_32_43
51.5962,MERGE,1,absorbed_group_81
51.7393,SATELLITE_PAIR,82,bacteria_44_79
51.8103,MERGE,1,absorbed_group_82
51.8103,SATELLITE_PAIR,83,bacteria_31_77
51.8831,MERGE,1,absorbed_group_83
52.0988,SATELLITE_PAIR,84,bacteria_53_54
52.1717,MERGE,1,absorbed_group_84
52.4598,SATELLITE_PAIR,85,bacteria_100_131
52.4598,DISPERSE,77,hit_bacterium_70
52.4598,PREDATOR_HIT,77,survived
52.531,MERGE,85,absorbed_group_78
52.531,MERGE,4,absorbed_group_85
53.1796,SATELLITE_PAIR,86,bacteria_41_58
53.2509,MERGE,1,absorbed_group_86
53.6083,PREDATOR_HIT,1,survived
53.9704,PREDATOR_HIT,77,survived
54.1889,SATELLITE_PAIR,87,bacteria_67_75
54.2603,MERGE,1,absorbed_group_87
54.5463,PREDATOR_HIT,1,survived
55.1964,SATELLITE_PAIR,88,bacteria_50_55
55.4872,SATELLITE_PAIR,89,bacteria_39_76
55.5589,MERGE,77,absorbed_group_89
55.7796,PREDATOR_HIT,77,survived
55.8515,SATELLITE_PAIR,90,bacteria_6_17
55.9234,MERGE,4,absorbed_group_90
55.9234,SATELLITE_PAIR,91,bacteria_19_48
55.9953,MERGE,1,absorbed_group_91
56.0674,PREDATOR_HIT,77,survived
56.1389,SATELLITE_PAIR,92,bacteria_0_1
56.1389,SATELLITE_PAIR,93,bacteria_2_140
56.1389,SATELLITE_PAIR,94,bacteria_3_143
56.1389,SATELLITE_PAIR,95,bacteria_4_7
56.1389,SATELLITE_PAIR,96,bacteria_8_162
56.1389,SATELLITE_PAIR,97,bacteria_16_170
56.1389,SATELLITE_PAIR,98,bacteria_25_26
56.1389,SATELLITE_PAIR,99,bacteria_28_135
56.1389,SATELLITE_PAIR,100,bacteria_34_45
56.1389,SATELLITE_PAIR,101,bacteria_62_78
56.1389,SATELLITE_PAIR,102,bacteria_133_136
56.1389,SATELLITE_PAIR,103,bacteria_134_142
56.1389,SATELLITE_PAIR,104,bacteria_160_161
56.1389,SATELLITE_PAIR,105,bacteria_164_169
56.1389,SATELLITE_PAIR,106,bacteria_165_171
56.1389,SATELLITE_PAIR,107,bacteria_173_175
56.2117,MERGE,107,absorbed_group_106
56.2117,MERGE,107,absorbed_group_105
56.2117,MERGE,107,absorbed_group_104
56.2117,MERGE,107,absorbed_group_97
56.2117,MERGE,107,absorbed_group_63
56.2117,MERGE,107,absorbed_group_96
56.2117,MERGE,103,absorbed_group_102
56.2117,MERGE,103,absorbed_group_99
56.2117,MERGE,103,absorbed_group_93
56.2117,MERGE,4,absorbed_group_103
56.2117,MERGE,101,absorbed_group_100
56.2117,MERGE,101,absorbed_group_98
56.2117,MERGE,1,absorbed_group_101
56.2117,MERGE,95,absorbed_group_92
56.2117,MERGE,95,absorbed_group_94
56.2863,MERGE,4,absorbed_group_95
56.5783,SATELLITE_PAIR,108,bacteria_33_42
56.651,MERGE,1,absorbed_group_108
56.8703,SATELLITE_PAIR,109,bacteria_5_23
56.8703,SATELLITE_PAIR,110,bacteria_72_139
56.8703,SATELLITE_PAIR,111,bacteria_132_141
56.9423,MERGE,111,absorbed_group_110
56.9423,MERGE,111,absorbed_group_109
56.9423,MERGE,4,absorbed_group_111
56.9423,SATELLITE_PAIR,112,bacteria_49_101
57.0182,MERGE,112,absorbed_group_88
57.0908,SATELLITE_PAIR,113,bacteria_130_138
57.1655,MERGE,4,absorbed_group_113
57.1655,SATELLITE_PAIR,114,bacteria_15_22
57.2388,MERGE,4,absorbed_group_114
57.2388,SATELLITE_PAIR,115,bacteria_68_69
57.3117,MERGE,77,absorbed_group_115
57.3117,PREDATOR_HIT,77,survived
57.3845,SATELLITE_PAIR,116,bacteria_35_46
57.3845,SATELLITE_PAIR,117,bacteria_38_71
57.4564,MERGE,1,absorbed_group_116
57.4564,SATELLITE_PAIR,118,bacteria_14_111
57.4564,SATELLITE_PAIR,119,bacteria_29_30
57.5281,MERGE,112,absorbed_group_118
57.5281,MERGE,112,absorbed_group_119
57.5281,MERGE,4,absorbed_group_112
